0,1,2
3,more like funchuck,"Gave this to my dad for a gag gift after directing ""Nunsense,"" he got a reall kick out of it!"
5,Inspiring,"I hope a lot of people hear this cd. We need more strong and positive vibes like this. Great vocals, fresh tunes, cross-cultural happiness. Her blues is from the gut. The pop sounds are catchy and mature."
5,The best soundtrack ever to anything.,"I'm reading a lot of reviews saying that this is the best 'game soundtrack' and I figured that I'd write a review to disagree a bit. This in my opinino is Yasunori Mitsuda's ultimate masterpiece. The music is timeless and I'm been listening to it for years now and its beauty simply refuses to fade.The price tag on this is pretty staggering I must say, but if you are going to buy any cd for this much money, this is the only one that I feel would be worth every penny."
4,Chrono Cross OST,"The music of Yasunori Misuda is without question my close second below the great Nobuo Uematsu.Chrono Cross OST is a wonderful creation filled with rich orchestra and synthesized sounds. While ambiance is one of the music's major factors, yet at times it's very uplifting and vigorous. Some of my favourite tracks include; ""Scars Left by Time, The Girl who Stole the Stars, and Another World""."
5,Too good to be true,Probably the greatest soundtrack in history! Usually it's better to have played the game first but this is so enjoyable anyway! I worked so hard getting this soundtrack and after spending [money] to get it it was really worth every penny!! Get this OST! it's amazing! The first few tracks will have you dancing around with delight (especially Scars Left by Time)!! BUY IT NOW!!
5,There's a reason for the price,"There's a reason this CD is so expensive, even the version that's not an import.Some of the best music ever. I could listen to every track every minute of every day. That's about all i can say."
1,Buyer beware,"This is a self-published book, and if you want to know why--read a few paragraphs! Those 5 star reviews must have been written by Ms. Haddon's family and friends--or perhaps, by herself! I can't imagine anyone reading the whole thing--I spent an evening with the book and a friend and we were in hysterics reading bits and pieces of it to one another. It is most definitely bad enough to be entered into some kind of a ""worst book"" contest. I can't believe Amazon even sells this kind of thing. Maybe I can offer them my 8th grade term paper on ""To Kill a Mockingbird""--a book I am quite sure Ms. Haddon never heard of. Anyway, unless you are in a mood to send a book to someone as a joke---stay far, far away from this one!"
4,"Errors, but great story","I was a dissapointed to see errors on the back cover, but since I paid for the book I read it anyway. I have to say I love it. I couldn't put it down. I read the whole book in two hours. I say buy it. I say read it. It is sad, but it gives an interesting point of view on church today. We spend too much time looking at the faults of others. I also enjoyed beloved.Sincerly,Jaylynn R"
1,The Worst!,"A complete waste of time. Typographical errors, poor grammar, and a totally pathetic plot add up to absolutely nothing. I'm embarrassed for this author and very disappointed I actually paid for this book."
1,Oh please,"I guess you have to be a romance novel lover for this one, and not a very discerning one. All others beware! It is absolute drivel. I figured I was in trouble when a typo is prominently featured on the back cover, but the first page of the book removed all doubt. Wait - maybe I'm missing the point. A quick re-read of the beginning now makes it clear. This has to be an intentional churning of over-heated prose for satiric purposes. Phew, so glad I didn't waste $10.95 after all."
1,Awful beyond belief!,"I feel I have to write to keep others from wasting their money. This book seems to have been written by a 7th grader with poor grammatical skills for her age! As another reviewer points out, there is a misspelling on the cover, and I believe there is at least one per chapter. For example, it was mentioned twice that she had a ""lean"" on her house. I was so distracted by the poor writing and weak plot, that I decided to read with a pencil in hand to mark all of the horrible grammar and spelling. Please don't waste your money. I too, believe that the good reviews must have been written by the author's relatives. I will not put much faith in the reviews from now on!"
4,A romantic zen baseball comedy,"When you hear folks say that they don't make 'em like that anymore, they might be talking about ""BY THE SEA"". This is a very cool story about a young Cuban girl searching for idenity who stumbles into a coastal resort kitchen gig with a zen motorcycle maintenance man, three hysterical Italian chefs and a Latino fireballing right handed pitcher who plays on the team sponsored by the resort's owner. As is often the case she 'finds' herself through honest, often comical but always emotional, interaction with this sizzling roster of players. With the perfect mix of special effects, that salsa sound and flashbacks, BY THE SEA, gets 4 BIG stars from me!"
5,Lower leg comfort for 12 hours +,"Excellent stockings for long shifts on your feet - not too tight, not too loose...garment integrity is longer than package states (with proper care)."
3,Delivery was very long wait.....,It took almost 3 weeks to recieve the two pairs of stockings I ordered and when they arrived they were not in a box nor did they have any tags on them so I am not certain they are actually Jobst brand stockings. The Sun Bronze pair fits okay but quality is less than the pair I bought at an actual compression store.
2,sizes recomended in the size chart are not real,sizes are much smaller than what is recomended in the chart. I tried to put it and sheer it!. I guess you should not buy this item in the internet..it is better to go to the store and check it
3,Overbury,Full of intrigue and a good overview of the court of James 1 and the key players. Provides a good general history of all the facts of the case.
1,Another Abysmal Digital Copy,"Rather than scratches and insect droppings, this one has random pixelations combined with muddy light and vague image resolution. Probably the cue should have been the packaging is straight out of your street corner bootleg dealer.If you've ever seen a reasonably good condition film copy, you know the defining visuals of his film are the crystal clear lighting contrasts in black and white. The surrounding countryside and 'old home' scenes are set with early morning ground mists or the haze of memory while the events on the bridge and in the water are bright, clear, and immediate.Here everything is dull, dark, and clouded. Or, if you remember the timbre and enunciation of Captain's commands, so are the visuals.After that, it is hard to believe this award winning, critically acclaimed film's best presentation is on YOUTUBE. Somewhere ""out there"" is a DVD that comes up to the standard of a 16mm public library reel.Just none of them appear to be on Amazon."
4,Wardell's book is a pure delight.,"Steven Wardell's book is a pure delight and I've recommended itto friends of all ages. In Rising Sons and Daughters, we learn thatJapanese young people are preserving their country's tradition of respect for their elders while also creating their own identity as Japan's ""Generation X"". Like our own young people, they are bombarded with some of the excesses of ""Western culture"" - Clothing fads, rock groups, a culture of shopping, etc. What they seem to be developing, however, is a healthy hybrid of old and new that retains a firm foundation in good values. The Ando family members are wonderful, memorable people and Stevern Wardell writes poignantly about their lives and hopes of each of them."
4,i liked this album more then i thought i would,"I heard a song or two and thought same o same o,but when i listened to songs like ""blue angel"",""lanna"" and 'mama"" the hair just rose off my neck.Roy is trully an amazing singer with a talent you don't find much now days."
3,Better than I thought.,"I wrote a harsh review based on hearing a couple of tracks from one album,but after hearing tracks from the other 3 albums,I have to say that I take it back and in fact I bought it.The other albums are very good value for money with good liner notes and some very good music.Well worth the money for Roy Orbison fans."
3,The great Roy Orbison deserves a better quality recording .,"When I saw the term 'bootleg' on the title of this recording,I can see what they mean because one cd does have a slightly disappointing sound,but the others do sound much better.Having seen the great Roy Orbison twice live in concert,I know that he sounded better,but overall it is a good value for money 4cd set with good liner notes."
2,Problem with charging smaller AAAs,"I have had the charger for more than two years. It charges AA batteries just fine, but has a huge problem securing smaller AAA batteries. To charge the smaller batteries you need to flip down the little button at the positive end. In the beginning one of the four AAA batteries would pop up, and now three out of the four won't hold. The problem is the flip mechanism became loose, and any horizontal pressure would push the buttons back up. What I have to do now is using duct tape and a segment of crayon, apply the crayon on the buttons, and wrap the tape around. You know how painful that is."
5,CHECK OUT THE K6000 CHARGER!,Greetings. Kodak also has a K6000 charger which comes with 4 NiMH 2100 mAh batteries. Two batteries charge is 64 minutes and 4 batteries charge in 140 minutes. The problem is that Amazon doesn't carry them YET. Good bye.
5,ahhh,"These will more than pay for themselves, they are perfect for my GPS which will drain a cheap battery in less than an hour.btw the charger did come with 1850 batteries."
5,Excellent Product,This is an excellent product. I bought this for my digital camera. It has a great battery life per charge. Charger is handy to carry.
1,Batteries died within a year ...,"I bought this charger in Jul 2003 and it worked OK for a while. The design is nice and convenient. However, after about a year, the batteries would not hold a charge. Might as well just get alkaline disposables, or look elsewhere for a charger that comes with batteries that have better staying power."
5,"To ""Disappointed"" in Miami","You said ""...but the charge only lasts a very short time.""Did you know that new Ni-MH batteries must be cycled 3 to 5 times before they hold a full charge? This does not mean that they should be charged 3 to 5 times in a row but rather that for the first 3 to 5 charge/discharge cycles, the batteries reach a higher charge level each time until they are recharged until they finally reach their rated capacity. This may be your problem. Try doing this and you might be pleasantly surprised."
5,Awesome - wanna use dramatica? You definitely need this book,"It's just awesome, even better than what you can read online about using dramatica of Armando. If you want to use Dramatica - and don't want to get lost eventually - you really, really, really need this guide to get to some point you can call your plot really a plot. This book just makes you very, very happy. For it will boost your efforts to really WORK with dramatica. I only wish we had had that book ten years before. So I do highly recommend it. Even if you aren't a native speaker like me, having german as my mother tongue. I would never have made it with the DRAMATICA SOFTWARE if I haven't had this book. Believe me. It's worth every Cent (I payed in Euro). Though I tried very hard for roundabout 2 years I was coming to fail with Dramatica 4.0. This book saved my ass. Let it save yours too. It's making me happy. Thank you so much, Armando. Greetings from Germany, Cologne"
